agency_id,agency_name,agency_url,agency_timezone,agency_lang
XB,落馬洲過境巴士服務,https://www.td.gov.hk/tc/transport_in_hong_kong/land_based_cross_boundary_transport/access_to_lok_ma_chau_control_point,Asia/Hong_Kong,zh-HK
PI,珀麗灣客運（巴士服務）,http://www.pitcl.com.hk,Asia/Hong_Kong,zh-HK
LWB,龍運巴士,http://www.lwb.hk,Asia/Hong_Kong,zh-HK
KMB,九龍巴士,https://www.kmb.hk,Asia/Hong_Kong,zh-HK
KMB+CTB,九龍巴士|城巴,https://www.kmb.hk|https://www.citybus.com.hk,Asia/Hong_Kong,zh-HK
LWB+CTB,龍運巴士|城巴,http://www.lwb.hk|https://www.citybus.com.hk,Asia/Hong_Kong,zh-HK
CTB,城巴,https://www.citybus.com.hk,Asia/Hong_Kong,zh-HK
DB,愉景灣交通服務（巴士服務）,https://www.dbcommunity.hk,Asia/Hong_Kong,zh-HK
LRTFeeder,港鐵巴士,https://www.mtr.com.hk,Asia/Hong_Kong,zh-HK
NLB,新大嶼山巴士,https://www.nlb.com.hk,Asia/Hong_Kong,zh-HK
GMB,綠色專線小巴服務,https://www.td.gov.hk/tc/transport_in_hong_kong/public_transport/minibuses,Asia/Hong_Kong,zh-HK
FERRY,渡輪服務,https://www.td.gov.hk/tc/transport_in_hong_kong/public_transport/ferries,Asia/Hong_Kong,zh-HK
PTRAM,山頂纜車,https://www.thepeak.com.hk/zh-hant/the-peak-experience/the-peak-tram-upgrade-project,Asia/Hong_Kong,zh-HK
TRAM,香港電車,https://www.hktramways.com,Asia/Hong_Kong,zh-HK
