service_id,date,exception_type
1,20240101,2
1,20240212,2
1,20240401,2
1,20240610,2
1,20240701,2
2,20240213,2
2,20241001,2
3,20240101,2
3,20240212,2
3,20240213,2
3,20240401,2
3,20240610,2
3,20240701,2
3,20241001,2
4,20240501,2
4,20240515,2
4,20240918,2
4,20241225,2
5,20240101,2
5,20240212,2
5,20240401,2
5,20240501,2
5,20240515,2
5,20240610,2
5,20240701,2
5,20240918,2
5,20241225,2
6,20240213,2
6,20240501,2
6,20240515,2
6,20240918,2
6,20241001,2
6,20241225,2
7,20240101,2
7,20240212,2
7,20240213,2
7,20240401,2
7,20240501,2
7,20240515,2
7,20240610,2
7,20240701,2
7,20240918,2
7,20241001,2
7,20241225,2
8,20240404,2
8,20241226,2
9,20240101,2
9,20240212,2
9,20240401,2
9,20240404,2
9,20240610,2
9,20240701,2
9,20241226,2
10,20240213,2
10,20240404,2
10,20241001,2
10,20241226,2
11,20240101,2
11,20240212,2
11,20240213,2
11,20240401,2
11,20240404,2
11,20240610,2
11,20240701,2
11,20241001,2
11,20241226,2
12,20240404,2
12,20240501,2
12,20240515,2
12,20240918,2
12,20241225,2
12,20241226,2
13,20240101,2
13,20240212,2
13,20240401,2
13,20240404,2
13,20240501,2
13,20240515,2
13,20240610,2
13,20240701,2
13,20240918,2
13,20241225,2
13,20241226,2
14,20240213,2
14,20240404,2
14,20240501,2
14,20240515,2
14,20240918,2
14,20241001,2
14,20241225,2
14,20241226,2
15,20240101,2
15,20240212,2
15,20240213,2
15,20240401,2
15,20240404,2
15,20240501,2
15,20240515,2
15,20240610,2
15,20240701,2
15,20240918,2
15,20241001,2
15,20241225,2
15,20241226,2
16,20240329,2
16,20241011,2
17,20240101,2
17,20240212,2
17,20240329,2
17,20240401,2
17,20240610,2
17,20240701,2
17,20241011,2
18,20240213,2
18,20240329,2
18,20241001,2
18,20241011,2
19,20240101,2
19,20240212,2
19,20240213,2
19,20240329,2
19,20240401,2
19,20240610,2
19,20240701,2
19,20241001,2
19,20241011,2
20,20240329,2
20,20240501,2
20,20240515,2
20,20240918,2
20,20241011,2
20,20241225,2
21,20240101,2
21,20240212,2
21,20240329,2
21,20240401,2
21,20240501,2
21,20240515,2
21,20240610,2
21,20240701,2
21,20240918,2
21,20241011,2
21,20241225,2
22,20240213,2
22,20240329,2
22,20240501,2
22,20240515,2
22,20240918,2
22,20241001,2
22,20241011,2
22,20241225,2
23,20240101,2
23,20240212,2
23,20240213,2
23,20240329,2
23,20240401,2
23,20240501,2
23,20240515,2
23,20240610,2
23,20240701,2
23,20240918,2
23,20241001,2
23,20241011,2
23,20241225,2
24,20240329,2
24,20240404,2
24,20241011,2
24,20241226,2
25,20240101,2
25,20240212,2
25,20240329,2
25,20240401,2
25,20240404,2
25,20240610,2
25,20240701,2
25,20241011,2
25,20241226,2
26,20240213,2
26,20240329,2
26,20240404,2
26,20241001,2
26,20241011,2
26,20241226,2
27,20240101,2
27,20240212,2
27,20240213,2
27,20240329,2
27,20240401,2
27,20240404,2
27,20240610,2
27,20240701,2
27,20241001,2
27,20241011,2
27,20241226,2
28,20240329,2
28,20240404,2
28,20240501,2
28,20240515,2
28,20240918,2
28,20241011,2
28,20241225,2
28,20241226,2
29,20240101,2
29,20240212,2
29,20240329,2
29,20240401,2
29,20240404,2
29,20240501,2
29,20240515,2
29,20240610,2
29,20240701,2
29,20240918,2
29,20241011,2
29,20241225,2
29,20241226,2
30,20240213,2
30,20240329,2
30,20240404,2
30,20240501,2
30,20240515,2
30,20240918,2
30,20241001,2
30,20241011,2
30,20241225,2
30,20241226,2
31,20240101,2
31,20240212,2
31,20240213,2
31,20240329,2
31,20240401,2
31,20240404,2
31,20240501,2
31,20240515,2
31,20240610,2
31,20240701,2
31,20240918,2
31,20241001,2
31,20241011,2
31,20241225,2
31,20241226,2
32,20240210,2
32,20240330,2
33,20240101,2
33,20240210,2
33,20240212,2
33,20240330,2
33,20240401,2
33,20240610,2
33,20240701,2
34,20240210,2
34,20240213,2
34,20240330,2
34,20241001,2
35,20240101,2
35,20240210,2
35,20240212,2
35,20240213,2
35,20240330,2
35,20240401,2
35,20240610,2
35,20240701,2
35,20241001,2
36,20240210,2
36,20240330,2
36,20240501,2
36,20240515,2
36,20240918,2
36,20241225,2
37,20240101,2
37,20240210,2
37,20240212,2
37,20240330,2
37,20240401,2
37,20240501,2
37,20240515,2
37,20240610,2
37,20240701,2
37,20240918,2
37,20241225,2
38,20240210,2
38,20240213,2
38,20240330,2
38,20240501,2
38,20240515,2
38,20240918,2
38,20241001,2
38,20241225,2
39,20240101,2
39,20240210,2
39,20240212,2
39,20240213,2
39,20240330,2
39,20240401,2
39,20240501,2
39,20240515,2
39,20240610,2
39,20240701,2
39,20240918,2
39,20241001,2
39,20241225,2
40,20240210,2
40,20240330,2
40,20240404,2
40,20241226,2
41,20240101,2
41,20240210,2
41,20240212,2
41,20240330,2
41,20240401,2
41,20240404,2
41,20240610,2
41,20240701,2
41,20241226,2
42,20240210,2
42,20240213,2
42,20240330,2
42,20240404,2
42,20241001,2
42,20241226,2
43,20240101,2
43,20240210,2
43,20240212,2
43,20240213,2
43,20240330,2
43,20240401,2
43,20240404,2
43,20240610,2
43,20240701,2
43,20241001,2
43,20241226,2
44,20240210,2
44,20240330,2
44,20240404,2
44,20240501,2
44,20240515,2
44,20240918,2
44,20241225,2
44,20241226,2
45,20240101,2
45,20240210,2
45,20240212,2
45,20240330,2
45,20240401,2
45,20240404,2
45,20240501,2
45,20240515,2
45,20240610,2
45,20240701,2
45,20240918,2
45,20241225,2
45,20241226,2
46,20240210,2
46,20240213,2
46,20240330,2
46,20240404,2
46,20240501,2
46,20240515,2
46,20240918,2
46,20241001,2
46,20241225,2
46,20241226,2
47,20240101,2
47,20240210,2
47,20240212,2
47,20240213,2
47,20240330,2
47,20240401,2
47,20240404,2
47,20240501,2
47,20240515,2
47,20240610,2
47,20240701,2
47,20240918,2
47,20241001,2
47,20241225,2
47,20241226,2
48,20240210,2
48,20240329,2
48,20240330,2
48,20241011,2
49,20240101,2
49,20240210,2
49,20240212,2
49,20240329,2
49,20240330,2
49,20240401,2
49,20240610,2
49,20240701,2
49,20241011,2
50,20240210,2
50,20240213,2
50,20240329,2
50,20240330,2
50,20241001,2
50,20241011,2
51,20240101,2
51,20240210,2
51,20240212,2
51,20240213,2
51,20240329,2
51,20240330,2
51,20240401,2
51,20240610,2
51,20240701,2
51,20241001,2
51,20241011,2
52,20240210,2
52,20240329,2
52,20240330,2
52,20240501,2
52,20240515,2
52,20240918,2
52,20241011,2
52,20241225,2
53,20240101,2
53,20240210,2
53,20240212,2
53,20240329,2
53,20240330,2
53,20240401,2
